"";"Name";"Area";"Year";"age0";"age1";"age2";"age3";"age4";"age5";"age6to9";"age11to15";"age16t20";"age21to30";"age31to40";"age40plus"
"1";"North East";"Region";2006;28925;27836;27523;26660;25996;26513;115678;159055;170335;324454;333660;1285933
"2";"North West";"Region";2006;82876;80929;79013;76152;75245;76310;327082;442573;468935;885633;950127;3356710
"3";"Yorkshire and The Humber";"Region";2006;61843;60349;59533;57173;56467;56484;242401;325562;341968;685802;706550;2479884
"4";"East Midlands";"Region";2006;50286;48871;48621;47234;46588;47496;205041;275405;286640;544377;606372;2159745
"5";"West Midlands";"Region";2006;66732;66095;65095;62793;61679;62019;267030;352313;364570;684353;750372;2612470
"6";"East";"Region";2006;66081;65153;65260;63008;62087;63673;270251;355453;353351;658130;789650;2794197
"7";"London";"Region";2006;115272;108678;102665;97814;92538;89831;363206;441365;453570;1324535;1391384;3016967
"8";"South East";"Region";2006;97143;94815;95503;92990;90630;93480;397457;520687;526664;1000891;1164849;4095752
"9";"South West";"Region";2006;53647;53303;52957;52204;50853;52655;230496;309562;324996;591697;667292;2680178
"10";"North East";"Region";2013;29665;30721;30948;30605;29846;30420;114124;136759;161163;355259;302383;1358670
"11";"North West";"Region";2013;87192;90290;88910;87426;86559;88024;329392;393225;435566;964445;866326;3586133
"12";"Yorkshire and The Humber";"Region";2013;65630;68268;66707;67000;66509;66306;249464;294846;333976;743757;647914;2667563
"13";"East Midlands";"Region";2013;54070;56468;56251;55362;54851;55856;208799;253372;287607;599247;546579;2370086
"14";"West Midlands";"Region";2013;72579;74422;73016;71632;71952;72712;274102;326897;360620;760562;693298;2823238
"15";"East";"Region";2013;72752;75485;75478;74884;74184;74687;277265;332899;355434;718653;745872;3074341
"16";"London";"Region";2013;130187;132736;123519;119144;115802;115939;414452;456486;463110;1424279;1533141;3388663
"17";"South East";"Region";2013;104864;110559;111833;111018;109401;110834;414359;497851;534713;1068317;1104398;4515007
"18";"South West";"Region";2013;59592;62332;62115;61042;60324;61257;229927;284058;322563;654551;611288;2908653
"19";"North East";"Region";2019;26621;27612;28621;29575;29315;30224;126486;150756;145346;356810;329781;1388794
"20";"North West";"Region";2019;81258;83359;86681;89238;89101;90059;367057;437546;405107;968247;946933;3696610
"21";"Yorkshire and The Humber";"Region";2019;59224;61933;64677;65963;66338;66548;275433;329212;312485;747317;695674;2758163
"22";"East Midlands";"Region";2019;49638;52147;54395;56726;56922;57177;237757;282350;274032;627499;592806;2494479
"23";"West Midlands";"Region";2019;66763;69480;71944;73411;73056;74695;304980;364716;340757;800175;760018;2934042
"24";"East";"Region";2019;68124;71823;74142;77069;76874;77744;319913;376084;332690;707556;799820;3254233
"25";"London";"Region";2019;117840;120779;122349;123655;121381;120529;482463;537605;467602;1335437;1619629;3792720
"26";"South East";"Region";2019;95825;100691;104529;109173;110461;111227;469268;561137;511193;1078106;1137016;4791509
"27";"South West";"Region";2019;53565;56232;58258;61325;61544;62919;263727;314840;301020;668125;659919;3063222
